Zipcode,Address,Population,Median Age,Household Income,Per Capita Income
10553,"Mt Vernon, NY 10553, USA",9895,40.7,58514,26137
43758,"Malta, OH 43758, USA",3517,39.5,43438,19770
52320,"Olin, IA 52320, USA",1109,46.6,59167,29853
45646,"Latham, OH 45646, USA",361,41.3,82604,28220
36688,"Mobile, AL 36688, USA",545,20.1,,3086
74456,"Preston, OK 74456, USA",231,30.6,27750,16345
59802,"Missoula, MT 59802, USA",19292,33,37931,25060
25571,"West Hamlin, WV 25571, USA",2371,43.7,36650,16769
56358,"Ogilvie, MN 56358, USA",3353,41.2,49091,20779
6069,"Sharon, CT 06069, USA",2440,57,73958,54815
15206,"Pittsburgh, PA 15206, USA",29098,36.6,33792,27733
33496,"Boca Raton, FL 33496, USA",22354,54.2,83138,64715
37764,"Kodak, TN 37764, USA",9241,41.1,46102,22642
61013,"Cedarville, IL 61013, USA",488,50.2,55000,27283
15937,"Jerome, PA 15937, USA",601,45.7,65000,24503
27249,"Gibsonville, NC 27249, USA",12596,42.1,50095,25651
76556,"Milano, TX 76556, USA",1392,50.7,39375,21201
46236,"Indianapolis, IN 46236, USA",27509,40.3,80833,38140
29170,"West Columbia, SC 29170, USA",21101,36.8,56415,25261
49893,"Wallace, MI 49893, USA",2008,47.9,59696,27882
63014,"Berger, MO 63014, USA",467,48.4,32188,19712
79021,"Cotton Center, TX 79021, USA",104,26.5,56250,17961
44251,"Westfield Center, OH 44251, USA",905,52.6,73021,47881
79118,"Amarillo, TX 79118, USA",20026,34.6,62323,25783
46704,"Arcola, IN 46704, USA",194,35.4,31089,13796
93605,"Big Creek, CA 93605, USA",243,49.2,84375,34293
22066,"Great Falls, VA 22066, USA",19475,43.5,214219,89776
43804,"Baltic, OH 43804, USA",3750,25.4,36841,12923
78414,"Corpus Christi, TX 78414, USA",33033,34,75971,33464
71405,"Ball, LA 71405, USA",5687,35.8,55242,23941
11385,"Ridgewood, NY 11385, USA",99379,35,50799,23272
83830,"Fernwood, ID 83830, USA",929,42.7,37244,16450
12010,"Amsterdam, NY 12010, USA",28802,41.7,44256,25059
37191,"Woodlawn, TN 37191, USA",4226,39.3,63393,28185
72039,"Damascus, AR 72039, USA",2402,40.8,33857,19838
96783,"Pepeekeo, HI 96783, USA",2149,40.4,31705,17613
57658,"Wakpala, SD 57658, USA",329,33.5,15833,7979
73673,"Willow, OK 73673, USA",352,53.6,40234,26554
63935,"Doniphan, MO 63935, USA",9863,42.5,31208,16144
73951,"Tyrone, OK 73951, USA",1085,28.7,43125,16762
49036,"Coldwater, MI 49036, USA",23706,41.6,42635,21336
47434,"Harrodsburg, IN 47434, USA",115,52.5,,21634
37336,"Georgetown, TN 37336, USA",4864,44.4,48066,22370
86507,"Lukachukai, AZ 86507, USA",2464,24.1,22009,8346
54022,"River Falls, WI 54022, USA",21786,28.8,60016,27608
75454,"Melissa, TX 75454, USA",5800,31.7,87125,29919
38152,"Memphis, TN 38152, USA",818,19.8,,2691
82934,"Granger, WY 82934, USA",239,33.1,32450,13016
28529,"Grantsboro, NC 28529, USA",2653,45.1,41858,20985
74643,"Lamont, OK 74643, USA",453,39.5,43214,22991
2056,"Norfolk, MA 02056, USA",11274,42.5,134104,43630
52533,"Batavia, IA 52533, USA",1626,42.6,49938,21050
45005,"Franklin, OH 45005, USA",29997,40.5,52016,24292
97146,"Warrenton, OR 97146, USA",5795,40.1,41192,23133
17946,"Lost Creek, PA 17946, USA",215,62.1,15469,10440
95240,"Lodi, CA 95240, USA",46482,33.1,41172,19814
53156,"Palmyra, WI 53156, USA",3054,42.4,53600,25161
46323,"Hammond, IN 46323, USA",22561,34.6,45478,19994
36858,"Hatchechubbee, AL 36858, USA",540,37.4,71563,25395
99506,"Joint Base Elmendorf-Richardson, AK 99506, USA",7499,22,60753,19565
50002,"Adair, IA 50002, USA",1338,41.3,40550,23974
15656,"Leechburg, PA 15656, USA",10208,43.9,47658,25820
49781,"St Ignace, MI 49781, USA",4303,44.2,39838,23000
46524,"Etna Green, IN 46524, USA",2541,32,60033,19849
31405,"Savannah, GA 31405, USA",37016,34.6,43051,23719
42031,"Clinton, KY 42031, USA",3251,49.1,32123,18442
71331,"Effie, LA 71331, USA",841,34.3,37109,18372
21750,"Hancock, MD 21750, USA",3999,38.6,47857,21608
8234,"Egg Harbor Township, NJ 08234, USA",42491,39.3,71316,29387
25699,"Wilsondale, WV 25699, USA",119,42,11875,6104
55342,"Hector, MN 55342, USA",2065,42.2,55982,26832
63128,"St. Louis, MO 63128, USA",29973,49.1,73440,39328
10984,"Thiells, NY 10984, USA",3317,42.5,112016,39093
57219,"Bristol, SD 57219, USA",727,50.1,57574,22913
44276,"Sterling, OH 44276, USA",1879,40.2,52330,24753
2740,"New Bedford, MA 02740, USA",43308,37.4,34259,20649
78742,"Austin, TX 78742, USA",810,33.6,19688,15485
76031,"Cleburne, TX 76031, USA",17360,36.1,46714,20226
57005,"Brandon, SD 57005, USA",10610,34.6,69690,27832
84116,"Salt Lake City, UT 84116, USA",33574,29.2,42235,15888
62330,"Dallas City, IL 62330, USA",1852,39.5,39271,20130
49415,"Fruitport, MI 49415, USA",6260,44.3,51587,26853
59453,"Judith Gap, MT 59453, USA",337,42.4,38750,20918
5261,"Pownal, VT 05261, USA",2835,45,56667,25144
19023,"Darby, PA 19023, USA",22710,30.2,38790,18351
5736,"Center Rutland, VT 05736, USA",788,48.4,56313,36613
84072,"Tabiona, UT 84072, USA",529,30.3,48654,18735
38844,"Gattman, MS 38844, USA",153,58.9,36071,20537
27822,"Elm City, NC 27822, USA",8082,43.6,46250,21943
37080,"Joelton, TN 37080, USA",7962,44.3,61824,25231
92310,"Fort Irwin, CA 92310, USA",9049,22.7,49778,19066
26807,"Franklin, WV 26807, USA",2886,45.6,36550,20860
75783,"Quitman, TX 75783, USA",7486,45.1,40322,23210
19057,"Levittown, PA 19057, USA",18171,38,62863,25069
23219,"Richmond, VA 23219, USA",3284,25.4,19231,24403
30666,"Statham, GA 30666, USA",9287,37.3,53627,23167
53936,"Grand Marsh, WI 53936, USA",2555,37.3,44583,13364
83638,"McCall, ID 83638, USA",5876,43.3,53850,26119
68947,"Hildreth, NE 68947, USA",622,45.5,56250,33158
25559,"Salt Rock, WV 25559, USA",2105,41.9,55120,22464
99102,"Albion, WA 99102, USA",519,35.4,43977,23766
63304,"St Charles, MO 63304, USA",40094,39.8,85329,35568
13637,"Evans Mills, NY 13637, USA",4270,28.4,55104,23870
44147,"Broadview Heights, OH 44147, USA",19331,42.1,76021,37217
47367,"Oakville, IN 47367, USA",123,39.8,41250,16255
71957,"Mt Ida, AR 71957, USA",3004,54.9,35445,21459
55802,"Duluth, MN 55802, USA",2212,59.5,24674,31860
21053,"Freeland, MD 21053, USA",3227,45.5,90361,36118
28076,"Henrietta, NC 28076, USA",1060,30,25221,9871
53588,"Spring Green, WI 53588, USA",3831,44.8,58086,29862
49234,"Clarklake, MI 49234, USA",2665,47.3,58250,30245
92285,"Landers, CA 92285, USA",2739,50.1,22917,17840
7082,"Towaco, NJ 07082, USA",5107,45.9,129432,59216
49098,"Watervliet, MI 49098, USA",6388,37,42237,18480
63138,"St. Louis, MO 63138, USA",20863,30.3,33691,17488
75942,"Doucette, TX 75942, USA",289,38.1,43512,15008
2802,"Albion, RI 02802, USA",919,37.2,48456,42134
95490,"Willits, CA 95490, USA",12158,46.9,38394,22551
71340,"Harrisonburg, LA 71340, USA",1612,33.7,30560,19909
60622,"Chicago, IL 60622, USA",54272,31.1,68923,43393
28454,"Maple Hill, NC 28454, USA",1813,42.6,20711,13553
58503,"Bismarck, ND 58503, USA",27196,37.3,81341,38377
33025,"Hollywood, FL 33025, USA",57766,32.9,51822,23660
87583,"Villanueva, NM 87583, USA",115,60.4,4955,5947
43050,"Mt Vernon, OH 43050, USA",28612,41.9,42576,23495
25414,"Charles Town, WV 25414, USA",17147,40.1,72833,32308
7718,"Belford, NJ 07718, USA",6143,40.5,87398,36267
46996,"Winamac, IN 46996, USA",7358,40.1,45412,20784
57078,"Yankton, SD 57078, USA",18894,40.7,50660,27293
56726,"Greenbush, MN 56726, USA",1582,42.2,52235,27445
52133,"Castalia, IA 52133, USA",625,40.3,66333,26065
6019,"Canton, CT 06019, USA",10249,45.1,88281,44781
93545,"Lone Pine, CA 93545, USA",2214,40.6,32473,18444
97711,"Ashwood, OR 97711, USA",123,34.5,27188,12480
3064,"Nashua, NH 03064, USA",14533,40.6,64026,34045
8540,"Princeton, NJ 08540, USA",47316,37.5,125439,61810
60091,"Wilmette, IL 60091, USA",27268,43.8,129551,67089
61929,"Hammond, IL 61929, USA",652,45.7,47891,23964
92252,"Joshua Tree, CA 92252, USA",10047,45,42338,22951
22102,"McLean, VA 22102, USA",22146,40.2,112427,82461
13827,"Owego, NY 13827, USA",11795,44.2,56025,28315
757,"Santa Isabel, 00757, Puerto Rico",23231,34.3,18033,9412
68147,"Bellevue, NE 68147, USA",10339,33,53997,22024
27826,"Fairfield, NC 27826, USA",963,49.4,38362,16651
63951,"Lowndes, MO 63951, USA",219,48.8,47768,20417
3077,"Raymond, NH 03077, USA",10218,39.5,61488,27774
76599,"Gatesville, TX 76599, USA",1480,35,,8815
38870,"Smithville, MS 38870, USA",2559,40.8,53443,22094
13312,"Brantingham, NY 13312, USA",320,56.1,41250,30699
21901,"North East, MD 21901, USA",16786,37.3,65951,29821
30120,"Cartersville, GA 30120, USA",37250,35.9,44141,20678
34209,"Bradenton, FL 34209, USA",33008,54.1,51572,28711
22027,"Dunn Loring, VA 22027, USA",2567,44.9,187768,61580
27262,"High Point, NC 27262, USA",24635,38.5,39867,22889
93428,"Cambria, CA 93428, USA",6393,58.4,59813,40682
47431,"Freedom, IN 47431, USA",1268,35.6,37500,19556
28782,"Tryon, NC 28782, USA",6662,56.9,46713,28377
59743,"Melrose, MT 59743, USA",159,57.4,39293,27250
12941,"Jay, NY 12941, USA",1374,44.6,72361,40100
85262,"Scottsdale, AZ 85262, USA",11034,54.4,125884,80227
33614,"Tampa, FL 33614, USA",48125,35.5,35098,18039
56371,"Roscoe, MN 56371, USA",132,52.1,51250,26395
55419,"Minneapolis, MN 55419, USA",26808,36.8,94177,49251
72007,"Austin, AR 72007, USA",6065,34.7,53125,21845
48221,"Detroit, MI 48221, USA",39455,39.6,38588,20123
49639,"Hersey, MI 49639, USA",2617,40.7,41570,17687
57429,"Brentford, SD 57429, USA",109,36.1,40000,20763
46617,"South Bend, IN 46617, USA",9947,33,48726,27706
41763,"Slemp, KY 41763, USA",645,41.6,36827,16535
47232,"Elizabethtown, IN 47232, USA",3280,37.4,60128,21838
23055,"Fork Union, VA 23055, USA",936,48,59648,21737
50433,"Dougherty, IA 50433, USA",206,45.4,55781,41122
18237,"McAdoo, PA 18237, USA",3848,39.1,42140,20172
49048,"Kalamazoo, MI 49048, USA",25434,34.9,41443,20479
57725,"Caputa, SD 57725, USA",110,66.6,57841,21549
32409,"Panama City, FL 32409, USA",8635,41.4,50461,24300
57315,"Avon, SD 57315, USA",1141,40.3,44813,21359
27288,"Eden, NC 27288, USA",23445,42.5,33800,18470
98591,"Toledo, WA 98591, USA",3837,49,50488,24795
12804,"Queensbury, NY 12804, USA",26308,44.6,60152,32970
18473,"White Mills, PA 18473, USA",432,41.8,50052,27326
92392,"Victorville, CA 92392, USA",54557,27.9,58667,19090
68930,"Blue Hill, NE 68930, USA",1430,44.7,44643,22939
66052,"Linwood, KS 66052, USA",2021,42.8,57848,27076
4010,"Brownfield, ME 04010, USA",1336,47.6,45592,25609
41073,"Bellevue, KY 41073, USA",5810,37.7,53396,26881
98362,"Port Angeles, WA 98362, USA",22052,47.5,43827,25914
25165,"Racine, WV 25165, USA",451,41.1,49886,24418
56453,"Hewitt, MN 56453, USA",855,41,50089,21875
24137,"Penhook, VA 24137, USA",2893,46.3,54979,30491
66507,"Maple Hill, KS 66507, USA",1237,31.8,67500,23114
49874,"Powers, MI 49874, USA",1208,46.9,35729,19398
59752,"Three Forks, MT 59752, USA",3236,44,51176,25177
37923,"Knoxville, TN 37923, USA",27624,37,53893,30167
44305,"Akron, OH 44305, USA",21899,37.6,36944,18868
23602,"Newport News, VA 23602, USA",39925,36.7,61343,30030
23440,"Tangier, VA 23440, USA",483,55.7,40833,20990
22834,"Linville, VA 22834, USA",1092,38.6,40357,30224
79416,"Lubbock, TX 79416, USA",32772,26.2,45937,23645
49616,"Benzonia, MI 49616, USA",1884,45.7,39145,18568
25431,"Levels, WV 25431, USA",219,50.5,31161,21822
40769,"Williamsburg, KY 40769, USA",18135,36.9,27221,14298
69130,"Cozad, NE 69130, USA",5411,41.6,46899,21825
92843,"Garden Grove, CA 92843, USA",44351,33.3,51991,17186
98051,"Ravensdale, WA 98051, USA",3852,42.3,77623,32555
48468,"Port Hope, MI 48468, USA",1440,55.2,38882,22710
10007,"New York, NY 10007, USA",6525,34,216037,157713
90302,"Inglewood, CA 90302, USA",30502,32.4,43042,21718
38487,"Williamsport, TN 38487, USA",762,41.6,38125,18884
13635,"Edwards, NY 13635, USA",837,46,33194,21320
97229,"Portland, OR 97229, USA",59983,37.8,100063,44657
2382,"Whitman, MA 02382, USA",14567,39.1,72462,32541
7606,"South Hackensack, NJ 07606, USA",2371,39.4,68750,33300
50543,"Gowrie, IA 50543, USA",1562,44.5,44583,23616
14033,"Colden, NY 14033, USA",2170,44.3,81979,32764
13495,"Yorkville, NY 13495, USA",2168,38.4,48576,24413
12723,"Callicoon, NY 12723, USA",2196,43.2,58102,25249
28349,"Kenansville, NC 28349, USA",4277,38.3,39057,15572
97396,"Willamina, OR 97396, USA",2827,44.3,36848,18929
42025,"Benton, KY 42025, USA",19744,43.2,42310,21348
53118,"Dousman, WI 53118, USA",7248,46.9,81619,38393
55060,"Owatonna, MN 55060, USA",28884,39.4,54945,27727
71825,"Blevins, AR 71825, USA",686,32.6,35625,13098
71353,"Melville, LA 71353, USA",1646,43.4,26719,19660
50525,"Clarion, IA 50525, USA",3491,42.2,39200,25499
57021,"Davis, SD 57021, USA",395,34.5,81875,28762
12831,"Gansevoort, NY 12831, USA",17644,40.3,71393,33481
25442,"Shenandoah Junction, WV 25442, USA",1734,35,73949,31249
28395,"Wade, NC 28395, USA",1953,39.5,39813,23319
3448,"Gilsum, NH 03448, USA",662,50.8,45417,26556
66088,"Valley Falls, KS 66088, USA",2579,42.8,50667,25268
49411,"Free Soil, MI 49411, USA",1523,47.1,44450,25531
79705,"Midland, TX 79705, USA",32784,36.8,68649,38947
74066,"Sapulpa, OK 74066, USA",31116,38.9,44675,22844
41046,"Glencoe, KY 41046, USA",1991,24,37585,13209
7724,"Eatontown, NJ 07724, USA",21758,41.7,78064,39958
41649,"Martin, KY 41649, USA",3004,41.4,25458,15356
55435,"Minneapolis, MN 55435, USA",12286,46.9,56213,47347
13402,"Madison, NY 13402, USA",1587,46.4,43387,19660
8324,"Heislerville, NJ 08324, USA",670,42.5,67772,28069
3276,"Tilton, NH 03276, USA",8394,41.9,58449,25690
69163,"Stapleton, NE 69163, USA",828,50.4,45481,25348
64480,"Rea, MO 64480, USA",325,57.5,65000,34670
90210,"Beverly Hills, CA 90210, USA",21548,46.4,132254,111364
72401,"Jonesboro, AR 72401, USA",55197,31.6,34819,20130
41540,"Lick Creek, KY 41540, USA",235,40.2,62672,24235
57568,"Presho, SD 57568, USA",647,45.2,51700,28055
29113,"Norway, SC 29113, USA",2176,32.1,36875,13381
25401,"Martinsburg, WV 25401, USA",14987,34.7,36600,21158
13326,"Cooperstown, NY 13326, USA",5456,50.4,57375,35094
61604,"Peoria, IL 61604, USA",31427,36.8,40630,21137
32535,"Century, FL 32535, USA",6015,37.8,34107,13066
3048,"Greenville, NH 03048, USA",3513,43.6,62321,28864
55976,"Stewartville, MN 55976, USA",7480,37.5,53616,26641
23665,"Hampton, VA 23665, USA",5593,22.2,52313,18789
28226,"Charlotte, NC 28226, USA",37412,41.1,68291,48777
76310,"Wichita Falls, TX 76310, USA",18492,37.2,63646,27924
12456,"Mt Marion, NY 12456, USA",707,37.5,48993,17639
73743,"Hillsdale, OK 73743, USA",132,42.5,50000,24770
2169,"Quincy, MA 02169, USA",55064,38.1,58669,32613
23228,"Henrico, VA 23228, USA",33844,35.1,44224,23998
35907,"Gadsden, AL 35907, USA",8339,40.7,70147,26791
8859,"Parlin, NJ 08859, USA",21594,38.9,79835,35353
64639,"De Witt, MO 64639, USA",257,48.9,57917,25446
18914,"Chalfont, PA 18914, USA",21694,39.4,101522,40247
11693,"Far Rockaway, NY 11693, USA",11335,39.1,50570,25149
58494,"Wing, ND 58494, USA",357,42.2,48500,29216
62025,"Edwardsville, IL 62025, USA",33736,35.2,72877,34115
64625,"Breckenridge, MO 64625, USA",549,43.7,36250,20795
17737,"Hughesville, PA 17737, USA",5881,42.3,51007,24229
58466,"Marion, ND 58466, USA",509,44.5,69844,36981
45897,"Williamstown, OH 45897, USA",155,45.3,,8999
20143,"Catharpin, VA 20143, USA",1081,42.8,139938,51051
22642,"Linden, VA 22642, USA",3912,37.1,76198,28685
52217,"Clutier, IA 52217, USA",447,47.8,40625,22426
36370,"Pansey, AL 36370, USA",929,43.9,44018,21152
42762,"Millwood, KY 42762, USA",531,42.3,30500,15664
35005,"Adamsville, AL 35005, USA",8150,38.2,46059,21273
2145,"Somerville, MA 02145, USA",24659,33,55487,29355
83841,"Laclede, ID 83841, USA",171,60.8,26618,23912
93637,"Madera, CA 93637, USA",40515,29.5,48974,17449
84118,"Salt Lake City, UT 84118, USA",67019,30.4,61203,19777
37737,"Friendsville, TN 37737, USA",5464,45.7,54405,29839
60421,"Elwood, IL 60421, USA",3960,40.1,70485,30466
38229,"Gleason, TN 38229, USA",2948,43.5,36800,19886
62449,"Oblong, IL 62449, USA",2971,41.5,46765,25332
30152,"Kennesaw, GA 30152, USA",41689,36.7,74559,35046
55069,"Rush City, MN 55069, USA",5450,37.7,54203,20182
61606,"Peoria, IL 61606, USA",7989,21.9,35904,17917
65017,"Brumley, MO 65017, USA",1580,44.2,42083,19123
69347,"Hay Springs, NE 69347, USA",1113,52.6,40250,23501
35475,"Northport, AL 35475, USA",14315,33.9,69924,28117
72722,"Decatur, AR 72722, USA",3171,37.7,37198,16971
34744,"Kissimmee, FL 34744, USA",44675,36.2,45589,19455
17051,"Mcveytown, PA 17051, USA",4693,42.6,43234,19984
28618,"Deep Gap, NC 28618, USA",1871,44.3,41929,23581
70748,"Jackson, LA 70748, USA",6440,43,41489,17350
47952,"Kingman, IN 47952, USA",2685,45.5,37232,20271
78214,"San Antonio, TX 78214, USA",23611,33.6,27222,13595
19372,"Thorndale, PA 19372, USA",1536,35.3,75347,44586
52362,"Wyoming, IA 52362, USA",670,49.1,38359,27973
45684,"Stout, OH 45684, USA",1862,40.8,47517,18795
80545,"Red Feather Lakes, CO 80545, USA",629,61.5,40583,30261
72036,"Cotton Plant, AR 72036, USA",757,47,22361,13850
13335,"Edmeston, NY 13335, USA",1721,41.4,52083,22636
27283,"Julian, NC 27283, USA",3124,43.4,52015,27215
692,"Vega Alta, 00692, Puerto Rico",37618,35,18500,9273
49269,"Parma, MI 49269, USA",5954,43,48185,24291
72856,"Sand Gap, AR 72856, USA",528,52.1,31016,24773
41835,"McRoberts, KY 41835, USA",967,50.9,43690,19524
47003,"West College Corner, IN 47003, USA",1029,41,39519,19997
14304,"Niagara Falls, NY 14304, USA",29745,44.7,47878,25791
12148,"Rexford, NY 12148, USA",4322,44.2,107540,44237
37067,"Franklin, TN 37067, USA",23391,37.6,95155,45675
71046,"Keatchie, LA 71046, USA",1491,37.9,41825,23280
91207,"Glendale, CA 91207, USA",10435,45.6,91005,47259
83313,"Bellevue, ID 83313, USA",3609,35.4,45168,23296
38049,"Mason, TN 38049, USA",4572,36.2,32386,24972
94539,"Fremont, CA 94539, USA",51494,41.2,143949,50701
54747,"Independence, WI 54747, USA",2583,39,41755,22124
60437,"Kinsman, IL 60437, USA",157,49.8,36563,23715
57785,"Sturgis, SD 57785, USA",9276,45.9,38638,24036
60137,"Glen Ellyn, IL 60137, USA",38384,41.1,89386,47759
58259,"Michigan, ND 58259, USA",384,54.1,48295,31803
13068,"Freeville, NY 13068, USA",5693,44,66480,30384
68317,"Bennet, NE 68317, USA",1531,40.4,79063,30851
6377,"Sterling, CT 06377, USA",2787,38.5,71509,28464
76525,"Evant, TX 76525, USA",1113,44.9,42750,21032
82932,"Farson, WY 82932, USA",1032,35.9,91115,40005
54524,"Fifield, WI 54524, USA",743,44.7,43047,24178
75149,"Mesquite, TX 75149, USA",58427,31.8,47739,19636
25427,"Hedgesville, WV 25427, USA",12630,42.9,54619,27919
45036,"Lebanon, OH 45036, USA",38476,36.9,68633,27591
28635,"Hays, NC 28635, USA",3920,35.6,30565,14292
63566,"Winigan, MO 63566, USA",118,38.9,34107,15108
34224,"Englewood, FL 34224, USA",15432,60.1,39645,24929
75640,"Diana, TX 75640, USA",4052,42.8,54423,22459
85383,"Peoria, AZ 85383, USA",38400,36.7,101526,37735
60018,"Des Plaines, IL 60018, USA",28749,39.9,54688,25289
21061,"Glen Burnie, MD 21061, USA",53491,36,60430,29841
47436,"Heltonville, IN 47436, USA",1557,42.5,42042,18000
77520,"Baytown, TX 77520, USA",37735,32.1,43409,18650
44867,"Republic, OH 44867, USA",2294,42.1,59268,27746
8854,"Piscataway Township, NJ 08854, USA",56874,33.2,91164,32262
19944,"Fenwick Island, DE 19944, USA",551,63.7,62000,56948
